,name,github_id,category,description,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,projectrank,show,projectrank_placing,new_addition,labels
0,lean4,leanprover/lean4,core,Lean 4 repository. Includes `Lake`.,https://github.com/leanprover/lean4,https://github.com/leanprover/lean4,Apache-2.0,2018-04-15 02:49:20,2023-11-12 08:38:10,2023-11-12 05:57:51,31886.0,310.0,265.0,67.0,1667.0,399.0,795.0,3155.0,2023-10-31 03:20:34,4.2.0,55228.0,1624.0,19.0,152.0,30,True,1,,
1,mathlib4,leanprover-community/mathlib4,core,Math library.,https://github.com/leanprover-community/mathlib4,https://github.com/leanprover-community/mathlib4,Apache-2.0,2021-05-09 07:52:01,2023-11-12 11:08:56,2023-11-12 09:37:50,7330.0,1452.0,147.0,28.0,8127.0,126.0,111.0,426.0,,,,,,182.0,21,True,2,,
2,elan,leanprover/elan,core,Version Manager.,https://github.com/leanprover/elan,https://github.com/leanprover/elan,Apache-2.0,2018-04-04 11:27:24,2023-10-12 07:41:58,2023-10-12 07:41:58,293.0,6.0,28.0,9.0,51.0,20.0,42.0,218.0,2023-09-08 08:29:17,3.0.0,453764.0,6772.0,50.0,17.0,19,True,2,,
3,vscode-lean4,leanprover/vscode-lean4,tool,Visual Studio Code extension.,https://github.com/leanprover/vscode-lean4,https://github.com/leanprover/vscode-lean4,Apache-2.0,2020-12-31 17:26:54,2023-11-10 20:28:48,2023-11-03 12:43:34,2410.0,32.0,28.0,11.0,192.0,45.0,114.0,96.0,2023-10-31 17:31:10,0.0.118,409.0,12.0,100.0,46.0,18,True,1,,
4,ProofWidgets,leanprover-community/ProofWidgets4,package-meta,Helper toolkit for creating your own Lean 4 UserWidgets.,https://github.com/leanprover-community/ProofWidgets4,https://github.com/leanprover-community/ProofWidgets4,Apache-2.0,2022-11-15 09:42:25,2023-11-10 21:09:51,2023-11-10 21:09:35,180.0,37.0,10.0,7.0,14.0,13.0,6.0,62.0,2023-11-10 21:09:51,0.0.22,55167.0,5516.0,24.0,7.0,17,True,1,,
5,A mathlib overview,leanprover-community/leanprover-community.github.io,cheatsheet,Hosts the website for mathlib and other Lean community infrastructure.,https://github.com/leanprover-community/leanprover-community.github.io,https://leanprover-community.github.io/mathlib-overview.html,MIT,2019-01-20 17:06:26,2023-11-12 04:07:13,2023-11-07 22:59:58,10059.0,72.0,86.0,11.0,364.0,18.0,13.0,39.0,,,,,,88.0,16,True,1,,
6,Paperproof,Paper-Proof/paperproof,tool,Theorem proving interface which feels like pen-and-paper proofs.,https://github.com/Paper-Proof/paperproof,https://github.com/Paper-Proof/paperproof,MIT,2023-03-16 15:24:27,2023-11-08 16:27:14,2023-11-08 16:22:38,494.0,135.0,5.0,5.0,10.0,5.0,14.0,212.0,2023-10-19 19:51:51,0.0.5,,,1.0,4.0,15,True,3,,
7,SciLean,lecopivo/SciLean,package,Scientific computing in Lean 4.,https://github.com/lecopivo/SciLean,https://github.com/lecopivo/SciLean,Apache-2.0,2021-09-27 21:50:10,2023-11-10 22:06:25,2023-11-10 22:06:10,1157.0,299.0,13.0,13.0,5.0,12.0,9.0,165.0,,,,,,5.0,15,True,1,True,
8,Lean Game Server,leanprover-community/lean4game,game,Mainly for Natural Number Game. Be careful not to confuse this with the [Lean 3..,https://github.com/leanprover-community/lean4game,https://adam.math.hhu.de/,GPL-3.0,2022-10-17 12:56:13,2023-11-10 19:25:32,2023-11-10 10:16:25,759.0,114.0,8.0,7.0,13.0,48.0,85.0,38.0,2023-11-09 14:30:53,4.1.0,,,2.0,9.0,15,True,1,,
9,A Lean 4 Metaprogramming Book,leanprover-community/lean4-metaprogramming-book,tutorial,Practical manual with code that goes into the internal concepts of Lean 4.,https://github.com/leanprover-community/lean4-metaprogramming-book,https://github.com/leanprover-community/lean4-metaprogramming-book,Apache-2.0,2022-03-23 22:54:03,2023-10-16 20:46:29,2023-09-18 21:00:55,213.0,8.0,37.0,10.0,88.0,14.0,14.0,163.0,,,552.0,276.0,1.0,16.0,14,True,1,,
10,std4,leanprover/std4,core,Standard Library.,https://github.com/leanprover/std4,https://github.com/leanprover/std4,Apache-2.0,2022-08-28 15:23:46,2023-11-12 09:02:40,2023-11-09 22:21:37,471.0,115.0,51.0,16.0,328.0,20.0,12.0,139.0,,,,,,32.0,14,True,3,,
11,doc-gen4,leanprover/doc-gen4,core,Document Generator.,https://github.com/leanprover/doc-gen4,https://github.com/leanprover/doc-gen4,Apache-2.0,2021-11-11 01:41:27,2023-11-11 16:18:49,2023-11-11 16:18:46,423.0,49.0,26.0,6.0,92.0,25.0,42.0,37.0,,,,,,20.0,14,True,3,,
12,aesop,leanprover-community/aesop,package,Proof search tactic (Automated Extensible Search for Obvious Proofs).,https://github.com/leanprover-community/aesop,https://github.com/leanprover-community/aesop,Apache-2.0,2021-06-01 13:02:59,2023-11-10 11:40:19,2023-11-03 11:13:12,542.0,52.0,16.0,8.0,41.0,11.0,33.0,97.0,,,,,,14.0,13,True,2,,
13,Theorem Proving in Lean 4,leanprover/theorem_proving_in_lean4,tutorial,Theorem Proving in Lean 4.,https://github.com/leanprover/theorem_proving_in_lean4,https://lean-lang.org/theorem_proving_in_lean4/,Apache-2.0,2021-08-24 18:41:32,2023-10-25 20:46:31,2023-09-06 09:11:07,1063.0,2.0,56.0,10.0,66.0,8.0,9.0,114.0,,,,,,64.0,11,True,2,,
14,llmstep,wellecks/llmstep,package-meta,llmstep: [L]LM proofstep suggestions in Lean 4.,https://github.com/wellecks/llmstep,https://github.com/wellecks/llmstep,MIT,2023-07-08 23:50:23,2023-11-11 01:30:11,2023-11-11 01:30:11,73.0,65.0,6.0,3.0,18.0,1.0,2.0,58.0,2023-10-31 03:18:38,1.0.0,,,1.0,5.0,11,True,3,True,
15,lean4web,leanprover-community/lean4web,tool,Web editor.,https://github.com/leanprover-community/lean4web,https://live.lean-lang.org/,Apache-2.0,2022-10-25 08:49:35,2023-11-04 19:59:16,2023-11-02 16:42:38,154.0,43.0,7.0,9.0,2.0,4.0,2.0,32.0,,,,,,5.0,11,True,3,,
16,SMT Lean,ufmg-smite/lean-smt,package,Tactics for discharging Lean goals into SMT solvers.,https://github.com/ufmg-smite/lean-smt,https://github.com/ufmg-smite/lean-smt,Apache-2.0,2021-11-23 20:54:14,2023-11-08 21:46:05,2023-11-08 21:46:05,69.0,8.0,13.0,6.0,62.0,4.0,4.0,55.0,,,,,,4.0,9,True,3,True,
17,quote4,leanprover-community/quote4,core,"Intuitive, type-safe expression quotations for Lean 4.",https://github.com/leanprover-community/quote4,https://github.com/leanprover-community/quote4,Apache-2.0,2021-05-08 19:00:07,2023-11-05 05:38:33,2023-11-05 05:37:48,148.0,8.0,8.0,6.0,12.0,6.0,7.0,53.0,,,,,,6.0,9,True,3,True,
